tag,patterns,responses
greeting,"Hello","Hello"
greeting,"Hi","Hi"
greeting,"Hey","Hey"
greeting,"Good morning","Good morning"
greeting,"Good afternoon","Good afternoon"
greeting,"Good evening","Good evening"
greeting,"How are you?","How are you?"
greeting,"What's up?","What's up?"
greeting,"Howdy","Howdy"
greeting,"Greetings","Greetings"
greeting,"Yo","Yo"
greeting,"What's happening?","What's happening?"
greeting,"Hi there","Hi there"
greeting,"What's going on?","What's going on?"
greeting,"Nice to see you","Nice to see you"
greeting,"How's it going?","How's it going?"
greeting,"How have you been?","How have you been?"
greeting,"What's new?","What's new?"
greeting,"Hey there","Hey there"
greeting,"How's everything?","How's everything?"
greeting,"Long time no see","Long time no see"
greeting,"Good day","Good day"
greeting,"How's life treating you?","How's life treating you?"
greeting,"Hiya","Hiya"
greeting,"What have you been up to?","What have you been up to?"
greeting,"Pleased to meet you","Pleased to meet you"
greeting,"How's your day been?","How's your day been?"
greeting,"Hey buddy","Hey buddy"
greeting,"Welcome","Welcome"
greeting,"Well, hello there!","Well, hello there!"
greeting,"Welcome back!","Welcome back!"
greeting,"Happy to see you!","Happy to see you!"
greeting,"How's your morning?","How's your morning?"
greeting,"How's your evening?","How's your evening?"
greeting,"Looking good today!","Looking good today!"
greeting,"What brings you here?","What brings you here?"
greeting,"What's the good word?","What's the good word?"
greeting,"How's your family?","How's your family?"
greeting,"Any plans for today?","Any plans for today?"
greeting,"Anything new with you?","Anything new with you?"
greeting,"How's the job going?","How's the job going?"
greeting,"How's your week been?","How's your week been?"
greeting,"Any exciting news to share?","Any exciting news to share?"
greeting,"How's the weather out there?","How's the weather out there?"
greeting,"Hope you're well!","Hope you're well!"
greeting,"You look great today!","You look great today!"
greeting,"How's the business?","How's the business?"
greeting,"What's going on with you?","What's going on with you?"
greeting,"Got any big plans coming up?","Got any big plans coming up?"
greeting,"How are things on your end?","How are things on your end?"
greeting,"What's shaking?","What's shaking?"
greeting,"How are the kids?","How are the kids?"
greeting,"Seen any good movies lately?","Seen any good movies lately?"
greeting,"Read any good books lately?","Read any good books lately?"
greeting,"Been on any trips recently?","Been on any trips recently?"
greeting,"How's everything with you?","How's everything with you?"
greeting,"What's kicking?","What's kicking?"
greeting,"How's your night going?","How's your night going?"
greeting,"What's new and exciting?","What's new and exciting?"
greeting,"How's your health?","How's your health?"
greeting,"You're looking sharp!","You're looking sharp!"
greeting,"Happy to see your face!","Happy to see your face!"
greeting,"What's the latest gossip?","What's the latest gossip?"
greeting,"How's your day shaping up?","How's your day shaping up?"
greeting,"What's cooking?","What's cooking?"
greeting,"What's new in your world?","What's new in your world?"
greeting,"How's everything rolling?","How's everything rolling?"
greeting,"Good to have you here!","Good to have you here!"
greeting,"How are your folks?","How are your folks?"
greeting,"What's cracking?","What's cracking?"
greeting,"How's your love life?","How's your love life?"
greeting,"What's the rumpus?","What's the rumpus?"
greeting,"How are your pets?","How are your pets?"
greeting,"What's the haps?","What's the haps?"
greeting,"How's your spirit?","How's your spirit?"
greeting,"What's brewing?","What's brewing?"
greeting,"How's the hustle?","How's the hustle?"
greeting,"How goes it today?","How goes it today?"
greeting,"What's on the agenda?","What's on the agenda?"
goodbye,"Goodbye","Goodbye"
goodbye,"Bye","Bye"
goodbye,"See you later","See you later"
goodbye,"See you soon","See you soon"
goodbye,"See you tomorrow","See you tomorrow"
goodbye,"Take care","Take care"
goodbye,"Farewell","Farewell"
goodbye,"So long","So long"
goodbye,"Catch you later","Catch you later"
goodbye,"Bye-bye","Bye-bye"
goodbye,"Adios","Adios"
goodbye,"Toodle-oo","Toodle-oo"
goodbye,"Ta-ta","Ta-ta"
goodbye,"Later","Later"
goodbye,"Peace out","Peace out"
goodbye,"Until next time","Until next time"
goodbye,"Have a good one","Have a good one"
goodbye,"Have a great day","Have a great day"
goodbye,"Have a nice day","Have a nice day"
goodbye,"Take it easy","Take it easy"
goodbye,"Bye for now","Bye for now"
goodbye,"I'll see you around","I'll see you around"
goodbye,"Talk to you later","Talk to you later"
goodbye,"Keep in touch","Keep in touch"
goodbye,"Stay safe","Stay safe"
goodbye,"Godspeed","Godspeed"
goodbye,"Bon voyage","Bon voyage"
goodbye,"Cheerio","Cheerio"
goodbye,"Sayonara","Sayonara"
goodbye,"Goodnight","Goodnight"
goodbye,"Goodbye for now!","Goodbye for now!"
goodbye,"Until we meet again!","Until we meet again!"
goodbye,"Be well!","Be well!"
goodbye,"Stay blessed!","Stay blessed!"
goodbye,"Cheers!","Cheers!"
goodbye,"All the best!","All the best!"
goodbye,"Stay healthy!","Stay healthy!"
goodbye,"Go safely!","Go safely!"
goodbye,"Until our paths cross again!","Until our paths cross again!"
goodbye,"Stay cool!","Stay cool!"
goodbye,"Stay warm!","Stay warm!"
goodbye,"Catch you on the flip side!","Catch you on the flip side!"
goodbye,"Stay frosty!","Stay frosty!"
goodbye,"Until tomorrow!","Until tomorrow!"
goodbye,"Looking forward to our next meeting!","Looking forward to our next meeting!"
goodbye,"Keep smiling!","Keep smiling!"
goodbye,"Take good care!","Take good care!"
goodbye,"Have a safe journey!","Have a safe journey!"
goodbye,"Until we chat again!","Until we chat again!"
goodbye,"See you on the other side!","See you on the other side!"
goodbye,"Stay happy!","Stay happy!"
goodbye,"Catch you next time!","Catch you next time!"
goodbye,"Stay calm and carry on!","Stay calm and carry on!"
goodbye,"Keep rocking!","Keep rocking!"
goodbye,"Stay sunny!","Stay sunny!"
goodbye,"Keep your chin up!","Keep your chin up!"
goodbye,"Keep on rolling!","Keep on rolling!"
goodbye,"Peace and love!","Peace and love!"
goodbye,"Be safe out there!","Be safe out there!"
goodbye,"Don't be a stranger!","Don't be a stranger!"
goodbye,"Hope to see you soon!","Hope to see you soon!"
goodbye,"May the wind be at your back!","May the wind be at your back!"
goodbye,"May your journeys be safe!","May your journeys be safe!"
goodbye,"Enjoy your day!","Enjoy your day!"
goodbye,"Ride the wind!","Ride the wind!"
goodbye,"Keep the faith!","Keep the faith!"
goodbye,"Stay golden!","Stay golden!"
goodbye,"Until next we meet!","Until next we meet!"
goodbye,"Fly high!","Fly high!"
goodbye,"Keep thriving!","Keep thriving!"
goodbye,"Stay sharp!","Stay sharp!"
goodbye,"Be seeing you!","Be seeing you!"
goodbye,"Stay out of trouble!","Stay out of trouble!"
goodbye,"Keep on shining!","Keep on shining!"
goodbye,"Keep up the good work!","Keep up the good work!"
goodbye,"Look after yourself!","Look after yourself!"
goodbye,"Stay positive!","Stay positive!"
goodbye,"Keep being awesome!","Keep being awesome!"
goodbye,"See you in the cosmos!","See you in the cosmos!"
joke,"Do you know any good jokes?","Why don't scientists trust atoms? Because they make up everything!"
joke,"Can you lighten up the mood with a joke?","Did you hear about the mathematician who's afraid of negative numbers? He'll stop at nothing to avoid them!"
joke,"Got any funny stories or jokes to share?","Why did the scarecrow win an award? Because he was outstanding in his field!"
joke,"Heard any good jokes lately?","How does a penguin build its house? Igloos it together!"
joke,"Do you have a favorite joke you'd like to share?","Why don't skeletons fight each other? They don't have the guts!"
joke,"Can you tell me a joke to make me laugh?","What do you call fake spaghetti? An impasta!"
joke,"What's a joke that always cracks you up?","Why did the bicycle fall over? Because it was two-tired!"
joke,"Are you good at telling jokes?","What do you call a cheese that isn't yours? Nacho cheese!"
joke,"Can you hit me with a joke?","Why did the tomato turn red? Because it saw the salad dressing!"
joke,"Got a joke up your sleeve?","What do you get when you cross a snowman and a vampire? Frostbite!"
joke,"Know any jokes that will make me chuckle?","How do you organize a space party? You planet!"
joke,"Do you have a go-to joke for any situation?","Why couldn't the bicycle stand up by itself? It was two-tired!"
joke,"Want to share a joke to lift our spirits?","What's orange and sounds like a parrot? A carrot!"
joke,"Care to share a joke to brighten the day?","Why don't scientists trust stairs? Because they're always up to something!"
joke,"Can you break the ice with a joke?","What's brown and sticky? A stick!"
joke,"Do you have a funny joke to share with everyone?","Why don't eggs tell jokes? Because they'd crack each other up!"
joke,"Heard any jokes that made you laugh out loud recently?","What did one ocean say to the other ocean? Nothing, they just waved!"
joke,"Can you entertain us with a joke?","Why did the golfer bring two pairs of pants? In case he got a hole in one!"
joke,"Have you heard any jokes that are worth repeating?","What do you call a bear with no teeth? A gummy bear!"
joke,"Do you know a joke that always gets a good reaction?","Why did the tomato blush? Because it saw the salad dressing!"
joke,"Can you start us off with a joke?","What do you call a can opener that doesn't work? A can't opener!"
joke,"Got any jokes that will crack us up?","Why did the math book look sad? Because it had too many problems!"
joke,"Can you make us laugh with a joke?","What do you call cheese that isn't yours? Nacho cheese!"
joke,"Know any jokes that are guaranteed to make us smile?","Why did the chicken join a band? Because it had the drumsticks!"
joke,"Care to share a joke that's been making the rounds?","How do you make a tissue dance? You put a little boogie in it!"
joke,"Got any jokes that are too good to keep to yourself?","What do you get when you cross a snowman and a dog? Frostbite!"
joke,"Can you share a joke that's sure to get a laugh?","Why did the cookie go to the doctor? Because it was feeling crumbly!"
joke,"Heard any jokes that are just too funny not to share?","What do you call a snowman with a six-pack? An abdominal snowman!"
joke,"Do you have a joke that's been making you giggle lately?","Why was the belt arrested? For holding up a pair of pants!"
joke,"Can you tell us a joke that's sure to tickle our funny bones?","Why don't skeletons fight each other? They don't have the guts!"
joke,"Why did the scarecrow become a successful musician? Because he was always in the field!","Why did the scarecrow become a successful musician? Because he was always in the field!"
joke,"What did the grape do when he got stepped on? He let out a little wine!","What did the grape do when he got stepped on? He let out a little wine!"
joke,"What do you call a dinosaur with an extensive vocabulary? A thesaurus!","What do you call a dinosaur with an extensive vocabulary? A thesaurus!"
joke,"Why did the computer go to the doctor? Because it had a virus!","Why did the computer go to the doctor? Because it had a virus!"
joke,"Why don't some couples go to the gym? Because some relationships don't work out!","Why don't some couples go to the gym? Because some relationships don't work out!"
joke,"What do you call a fish wearing a bowtie? Sofishticated!","What do you call a fish wearing a bowtie? Sofishticated!"
joke,"What do you get from a pampered cow? Spoiled milk!","What do you get from a pampered cow? Spoiled milk!"
joke,"Why can't you give Elsa a balloon? Because she will let it go!","Why can't you give Elsa a balloon? Because she will let it go!"
joke,"What do you call an alligator in a vest? An investigator!","What do you call an alligator in a vest? An investigator!"
joke,"Why did the golfer change his pants? Because he got a hole in one!","Why did the golfer change his pants? Because he got a hole in one!"
joke,"What do you call a pile of cats? A meowtain!","What do you call a pile of cats? A meowtain!"
joke,"Why was the math book sad? It had too many problems!","Why was the math book sad? It had too many problems!"
joke,"What does a cloud wear under his raincoat? Thunderwear!","What does a cloud wear under his raincoat? Thunderwear!"
joke,"Why did the tomato turn red? Because it saw the salad dressing!","Why did the tomato turn red? Because it saw the salad dressing!"
joke,"Why don't skeletons fight each other? They don't have the guts!","Why don't skeletons fight each other? They don't have the guts!"
joke,"What do you call cheese that isn't yours? Nacho cheese!","What do you call cheese that isn't yours? Nacho cheese!"
joke,"What kind of music do mummies listen to? Wrap!","What kind of music do mummies listen to? Wrap!"
joke,"Why did the bicycle fall over? Because it was two-tired!","Why did the bicycle fall over? Because it was two-tired!"
joke,"What do you get when you cross a snowman and a vampire? Frostbite!","What do you get when you cross a snowman and a vampire? Frostbite!"
joke,"How do you organize a space party? You planet!","How do you organize a space party? You planet!"
joke,"Why couldn't the bicycle stand up by itself? It was two-tired!","Why couldn't the bicycle stand up by itself? It was two-tired!"
help,"Could you assist me, please?","Sure, I'd be happy to help."
help,"I need some help with this, could you lend a hand?","Of course, what do you need assistance with?"
help,"Can you give me a hand with this?","Absolutely, let me know how I can assist."
help,"Would you mind helping me out?","No problem, what do you need?"
